crop,market,variety,observed_days,newest_date,holdout_mae,baseline_mae,model_use
Wheat,Dehgam(Rekhiyal) APMC,Other,496,2026-09-23,40.630151865433675,42.88775510204081,timing_trend_only
Groundnut,Porbandar APMC,Bold,461,2026-09-23,341.7134701236264,359.56043956043953,timing_trend_only
